,为生产采矿业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产采矿业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0608383421622,0.0522468153213,0.0325036451128,0.159005509824,0.00289936462443,0.0256766216467,0.0632281203328,0.30397362262,0.0982622682947,0.206411483427,0.0267186127789,0.0989272009976,0.218138090112,0.210076975502,0.047838379551,0.03099544805,0.0251016498657
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0588478863751,0.0491493098205,0.0383203103155,0.168032666221,0.00314472848239,0.0313867379085,0.0662678287078,0.312855849227,0.0899447905819,0.193557121497,0.0267285329799,0.108121076587,0.29367090023,0.196926387976,0.051357776951,0.0352066789081,0.0283062939215
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0509948462595,0.0434895813133,0.0287248636473,0.142145363525,0.00733960659573,0.0581698370214,0.0602293740353,0.191694061283,0.0778858938244,0.144782036182,0.0212345939684,0.0766987417828,0.28158461183,0.17622200793,0.0852197753065,0.0208815277254,0.0286964941182
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
