,为生产纺织、服装及皮革产品制造业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产纺织、服装及皮革产品制造业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0821859426337,0.0403021898867,0.285906556226,0.390310425834,0.00238290946858,0.0499305384707,0.0771062876872,0.163680431495,0.0721490525828,0.120921476286,0.790533413434,0.0950306919939,0.112950616986,0.0945373234295,0.0533142576649,0.0166433244687,0.111133018825
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0820793367273,0.0401472206622,0.313026257623,0.373441707031,0.00289086338403,0.0601207751021,0.0810645614923,0.156443042706,0.0659835006114,0.111009798127,0.79531882645,0.106987526671,0.12333561,0.0880350508966,0.0607815041476,0.0190217240094,0.123276272034
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0508213610793,0.0343569289736,0.31134331336,0.363340869828,0.00636634949134,0.0602892298666,0.151471965941,0.0942432393457,0.0586022397479,0.091189362664,0.823867847265,0.0960232477988,0.0964382063391,0.0595804735806,0.0672052418534,0.0114631249694,0.121871956648
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
