,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0516847895156,0.0483233410876,0.040421225573,0.107180623937,0.00536914387629,0.0435677105402,0.0682920733997,0.302769772649,0.198625444737,0.0898710751066,0.0273343741307,0.126409067213,0.176294632035,0.127172829295,0.0707760571711,0.0153793733999,0.030804956328
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0598990529508,0.0530500700808,0.059910701395,0.125785479438,0.00728464331082,0.0611631453898,0.082458913456,0.31931037753,0.197694245536,0.0952000569629,0.0313595761013,0.156239427258,0.203968112872,0.131216739231,0.0873355709349,0.02002686206,0.0390592611827
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0578394712512,0.0530363586185,0.0487916333727,0.113336995086,0.0136462774996,0.0881266726335,0.0888182757235,0.283065036293,0.177283601889,0.06801425673,0.023776695291,0.223270567852,0.170804346639,0.120977170521,0.132906208926,0.016595245491,0.0453205136868
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
