,专用设备制造业私营工业企业国家资本金,交通运输设备制造业私营工业企业国家资本金,仪器仪表及文化办公用机械制造业私营工业企业国家资本金,其他矿采选业私营工业企业国家资本金,其它制造业私营工业企业国家资本金,化学原料及化学制品制造业私营工业企业国家资本金,化学纤维制造业私营工业企业国家资本金,医药制造业私营工业企业国家资本金,印刷业、记录媒介的复制私营工业企业国家资本金,塑料制品业私营工业企业国家资本金,家具制造业私营工业企业国家资本金,文教体育用品制造业私营工业企业国家资本金,普通机械制造业私营工业企业国家资本金,有色金属冶炼及压延加工业私营工业企业国家资本金,有色金属矿采选业私营工业企业国家资本金,服装及其他纤维制品制造业私营工业企业国家资本金,木材加工及竹、藤、棕、草制品业私营工业企业国家资本金,木材及竹材采运业私营工业企业国家资本金,橡胶制品业私营工业企业国家资本金,烟草加工业私营工业企业国家资本金,煤气生产和供应业私营工业企业国家资本金,煤炭采选业私营工业企业国家资本金,电力、蒸汽、热水的生产和供应业私营工业企业国家资本金,电子及通信设备制造业私营工业企业国家资本金,电气机械及器材制造业私营工业企业国家资本金,皮革、毛皮、羽绒及其制品业私营工业企业国家资本金,石油加工及炼焦业私营工业企业国家资本金,石油和天然气开采业私营工业企业国家资本金,私营工业企业国家资本金,纺织业私营工业企业国家资本金,自来水的生产和供应业私营工业企业国家资本金,造纸及纸制品业私营工业企业国家资本金,金属制品业私营工业企业国家资本金,非金属矿物制造业私营工业企业国家资本金,非金属矿采选业私营工业企业国家资本金,食品制造业私营工业企业国家资本金,食品加工业私营工业企业国家资本金,饮料制造业私营工业企业国家资本金,黑色金属冶炼及压延加工业私营工业企业国家资本金,黑色金属矿采选业私营工业企业国家资本金
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.03253,0.46723,0.08058,0.0,0.03999,0.92804,0.0,0.18188,0.00212,0.05001,0.0255,0.008,0.08429,0.0923,0.0355,3.61763,0.06754,0.0,0.00094,0.0,0.0,0.77909,0.56,0.01346,0.32357,0.07808,0.03183,0.0,11.97553,0.42166,0.03325,0.16757,0.08159,2.1267,0.08169,0.15885,0.36412,0.44615,0.36164,0.2322
2001年,0.10869,0.30145,0.0,0.0,0.03139,0.9873,0.02648,0.71821,0.12324,0.06343,0.01017,0.01346,0.24384,0.18347,0.10145,0.01809,0.04576,0.00383,0.08117,0.0,0.0,0.18992,0.07681,0.4076,0.27261,0.02357,0.22676,0.0,9.67063,0.50346,0.0168,0.10374,0.19334,2.22467,0.22997,0.76547,0.64535,0.53077,0.19836,0.0
2002年,0.0827,0.23382,0.0,0.0,0.00657,3.16589,0.0,0.9114,0.01965,0.09836,0.08834,0.03078,0.21672,0.17621,0.09467,0.12161,0.10772,0.0,0.2114,0.0,0.0,0.62785,0.40424,0.364,0.45748,0.089,0.06319,0.0,14.25255,0.95923,0.35071,0.22419,0.37235,2.56435,0.405,0.27996,1.06038,0.26885,0.19593,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
