,专用设备制造业大中型工业亏损企业亏损总额,交通运输设备制造业大中型工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业大中型工业亏损企业亏损总额,其他矿采选业大中型工业亏损企业亏损总额,其它制造业大中型工业亏损企业亏损总额,化学原料及化学制品制造业大中型工业亏损企业亏损总额,化学纤维制造业大中型工业亏损企业亏损总额,医药制造业大中型工业亏损企业亏损总额,印刷业、记录媒介的复制大中型工业亏损企业亏损总额,塑料制品业大中型工业亏损企业亏损总额,大中型工业亏损企业亏损总额,家具制造业大中型工业亏损企业亏损总额,文教体育用品制造业大中型工业亏损企业亏损总额,普通机械制造业大中型工业亏损企业亏损总额,有色金属冶炼及压延加工业大中型工业亏损企业亏损总额,有色金属矿采选业大中型工业亏损企业亏损总额,服装及其他纤维制品制造业大中型工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业大中型工业亏损企业亏损总额,木材及竹材采运业大中型工业亏损企业亏损总额,橡胶制品业大中型工业亏损企业亏损总额,烟草加工业大中型工业亏损企业亏损总额,煤气生产和供应业大中型工业亏损企业亏损总额,煤炭采选业大中型工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业大中型工业亏损企业亏损总额,电子及通信设备制造业大中型工业亏损企业亏损总额,电气机械及器材制造业大中型工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业大中型工业亏损企业亏损总额,石油加工及炼焦业大中型工业亏损企业亏损总额,石油和天然气开采业大中型工业亏损企业亏损总额,纺织业大中型工业亏损企业亏损总额,自来水的生产和供应业大中型工业亏损企业亏损总额,造纸及纸制品业大中型工业亏损企业亏损总额,金属制品业大中型工业亏损企业亏损总额,非金属矿物制造业大中型工业亏损企业亏损总额,非金属矿采选业大中型工业亏损企业亏损总额,食品制造业大中型工业亏损企业亏损总额,食品加工业大中型工业亏损企业亏损总额,饮料制造业大中型工业亏损企业亏损总额,黑色金属冶炼及压延加工业大中型工业亏损企业亏损总额,黑色金属矿采选业大中型工业亏损企业亏损总额
2000年,28.59378,76.59441,5.23176,,1.5315,52.83838,6.44179,10.00714,2.43236,6.60965,662.67171,0.73038,0.75291,35.38193,13.26873,2.10489,3.46485,4.12885,2.40586,12.19445,3.32775,7.0571,24.73828,57.56598,27.18452,32.27693,2.63304,51.84252,6.57701,24.24506,5.32682,11.32846,12.48592,29.18544,3.38546,15.23981,20.8995,17.61723,30.24202,0.95728
2001年,29.9326,59.91337,5.85156,,1.67505,97.72733,15.66131,10.78195,3.13226,7.76594,767.58331,0.95632,1.23272,40.38875,13.66987,2.56742,4.97203,3.84538,1.72417,9.16247,11.7856,5.98647,11.22981,67.0486,59.45871,43.88682,4.59879,53.46565,1.99636,36.61122,5.05676,20.52717,11.19792,36.8727,2.705,14.89511,18.9593,19.76628,19.22241,0.54954
2002年,24.84391,63.49602,7.88169,,1.889,70.36216,12.50878,17.17774,3.14246,9.44486,705.01027,1.20877,1.51511,33.06204,11.87349,5.84742,4.09827,5.85522,1.38438,8.77016,3.86269,7.24953,5.56622,59.93681,68.33792,29.773,3.52927,38.78267,1.0741,32.52252,7.4508,16.49189,15.02503,37.71179,3.64984,22.94322,22.14041,22.77303,14.15036,1.27592
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
