,专用设备制造业规模以上工业企业工业销售产值(现价),交通运输设备制造业规模以上工业企业工业销售产值(现价),仪器仪表及文化办公用机械制造业规模以上工业企业工业销售产值(现价),其他矿采选业规模以上工业企业工业销售产值(现价),其它制造业规模以上工业企业工业销售产值(现价),化学原料及化学制品制造业规模以上工业企业工业销售产值(现价),化学纤维制造业规模以上工业企业工业销售产值(现价),医药制造业规模以上工业企业工业销售产值(现价),印刷业、记录媒介的复制规模以上工业企业工业销售产值(现价),塑料制品业规模以上工业企业工业销售产值(现价),家具制造业规模以上工业企业工业销售产值(现价),文教体育用品制造业规模以上工业企业工业销售产值(现价),普通机械制造业规模以上工业企业工业销售产值(现价),有色金属冶炼及压延加工业规模以上工业企业工业销售产值(现价),有色金属矿采选业规模以上工业企业工业销售产值(现价),服装及其他纤维制品制造业规模以上工业企业工业销售产值(现价),木材加工及竹、藤、棕、草制品业规模以上工业企业工业销售产值(现价),木材及竹材采运业规模以上工业企业工业销售产值(现价),橡胶制品业规模以上工业企业工业销售产值(现价),烟草加工业规模以上工业企业工业销售产值(现价),煤气生产和供应业规模以上工业企业工业销售产值(现价),煤炭采选业规模以上工业企业工业销售产值(现价),电力、蒸汽、热水的生产和供应业规模以上工业企业工业销售产值(现价),电子及通信设备制造业规模以上工业企业工业销售产值(现价),电气机械及器材制造业规模以上工业企业工业销售产值(现价),皮革、毛皮、羽绒及其制品业规模以上工业企业工业销售产值(现价),石油加工及炼焦业规模以上工业企业工业销售产值(现价),石油和天然气开采业规模以上工业企业工业销售产值(现价),纺织业规模以上工业企业工业销售产值(现价),自来水的生产和供应业规模以上工业企业工业销售产值(现价),规模以上工业企业工业销售产值(现价),造纸及纸制品业规模以上工业企业工业销售产值(现价),金属制品业规模以上工业企业工业销售产值(现价),非金属矿物制造业规模以上工业企业工业销售产值(现价),非金属矿采选业规模以上工业企业工业销售产值(现价),食品制造业规模以上工业企业工业销售产值(现价),食品加工业规模以上工业企业工业销售产值(现价),饮料制造业规模以上工业企业工业销售产值(现价),黑色金属冶炼及压延加工业规模以上工业企业工业销售产值(现价),黑色金属矿采选业规模以上工业企业工业销售产值(现价)
2000年,2118.27475,5328.83284,851.84369,3.80428,932.23564,5584.1669,1210.71278,1673.29704,596.82826,1836.6287,356.46871,598.81834,2944.4457,2125.70141,395.13158,2213.62587,630.82433,120.4534,780.46699,1450.98433,172.87253,1264.64332,4594.0068,7385.36524,4683.87718,1300.16101,4399.56354,3105.58762,5005.37753,317.35235,83678.16941,1537.38614,2458.05666,3558.97779,338.2224,1385.03926,3623.21873,1706.29256,4708.6153,157.72465
2001年,2253.07233,6371.06447,924.66479,4.00793,1050.22211,6130.16603,985.39868,1922.87115,696.4974,2055.4589,421.94917,661.23689,3386.3022,2305.53624,405.18887,2515.50023,717.23972,109.79225,866.68359,1684.64706,186.52021,1522.59286,5061.01883,8903.76817,5314.17939,1526.2856,4549.59451,2769.52418,5400.99037,333.95401,93182.86882,1760.1301,2761.58202,3872.4781,359.48522,1579.34977,3975.51511,1778.11335,5650.71429,186.11639
2002年,2717.20856,8217.8924,1098.25183,1.9761,1181.04092,7065.78296,1106.08899,2239.72484,805.09582,2426.50161,510.99219,761.73197,4123.16208,2560.50218,454.49171,2833.65998,805.73051,107.33082,1039.13954,2040.39907,226.48356,1943.74861,5862.73037,11130.96067,5967.61218,1762.63994,4766.36741,2743.34344,6221.92606,363.73995,108585.80662,2025.11064,3202.63269,4411.5718,408.28241,1905.65722,4660.94525,1943.28251,6472.0007,219.80016
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
