,专用设备制造业大中型工业企业利息支出,仪器仪表制造业大中型工业企业利息支出,其他制造业大中型工业企业利息支出,其他采矿业大中型工业企业利息支出,农副食品加工业大中型工业企业利息支出,化学原料和化学制品制造业大中型工业企业利息支出,化学纤维制造业大中型工业企业利息支出,医药制造业大中型工业企业利息支出,印刷和记录媒介复制业大中型工业企业利息支出,大中型工业企业利息支出,家具制造业大中型工业企业利息支出,废弃资源综合利用业大中型工业企业利息支出,开采辅助活动大中型工业企业利息支出,文教、工美、体育和娱乐用品制造业大中型工业企业利息支出,有色金属冶炼和压延加工业大中型工业企业利息支出,有色金属矿采选业大中型工业企业利息支出,木材加工和木、竹、藤、棕、草制品业大中型工业企业利息支出,橡胶和塑料制品业大中型工业企业利息支出,水的生产和供应业大中型工业企业利息支出,汽车制造业大中型工业企业利息支出,烟草制品业大中型工业企业利息支出,煤炭开采和洗选业大中型工业企业利息支出,燃气生产和供应业大中型工业企业利息支出,电力、热力生产和供应业大中型工业企业利息支出,电气机械和器材制造业大中型工业企业利息支出,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业利息支出,石油加工、炼焦和核燃料加工业大中型工业企业利息支出,石油和天然气开采业大中型工业企业利息支出,纺织业大中型工业企业利息支出,纺织服装、服饰业大中型工业企业利息支出,计算机、通信和其他电子设备制造业大中型工业企业利息支出,通用设备制造业大中型工业企业利息支出,造纸和纸制品业大中型工业企业利息支出,酒、饮料和精制茶制造业大中型工业企业利息支出,金属制品、机械和设备修理业大中型工业企业利息支出,金属制品业大中型工业企业利息支出,铁路、船舶、航空航天和其他运输设备大中型工业企业利息支出,非金属矿物制品业大中型工业企业利息支出,非金属矿采选业大中型工业企业利息支出,食品制造业大中型工业企业利息支出,黑色金属冶炼和压延加工业大中型工业企业利息支出,黑色金属矿采选业大中型工业企业利息支出
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,221.84522,34.88547,11.63637,0.01689,245.49803,633.39691,99.28037,117.17108,17.57067,8433.11789,26.18336,5.42452,16.42349,44.99398,459.21522,33.07163,30.07924,138.68249,54.73048,271.45162,12.1157,610.74949,25.06392,1495.15275,410.08258,64.56348,304.12589,156.15275,280.51511,86.16896,280.9768,210.96716,172.46871,73.38969,8.18264,135.43114,159.3832,326.68014,15.37263,72.52949,997.61996,73.86866
2013年,222.73,33.29,10.97,0.01,272.22,730.95,96.51,135.89,19.08,8876.83,31.01,5.6,18.67,49.12,489.67,38.11,37.09,140.15,58.51,258.64,11.83,719.01,26.34,1472.54,398.39,59.74,346.5,184.96,311.75,86.34,276.09,225.09,168.41,85.25,8.49,149.8,154.96,349.26,17.07,78.78,1008.39,89.63
2014年,245.59,39.05,10.54,0.01,281.27,851.17,100.94,162.18,20.48,9679.11,31.58,7.14,16.37,52.81,558.12,47.02,39.07,149.41,65.77,312.08,13.06,811.75,35.58,1503.38,418.02,65.4,403.29,198.81,324.39,86.45,333.46,249.09,175.31,86.84,7.82,161.42,171.19,374.76,20.23,82.93,1052.17,113.15
