,专用设备制造业外商及港澳台商投资工业企业法人资本金,交通运输设备制造业外商及港澳台商投资工业企业法人资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业法人资本金,其他矿采选业外商及港澳台商投资工业企业法人资本金,其它制造业外商及港澳台商投资工业企业法人资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业法人资本金,化学纤维制造业外商及港澳台商投资工业企业法人资本金,医药制造业外商及港澳台商投资工业企业法人资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业法人资本金,塑料制品业外商及港澳台商投资工业企业法人资本金,外商及港澳台商投资工业企业法人资本金,家具制造业外商及港澳台商投资工业企业法人资本金,文教体育用品制造业外商及港澳台商投资工业企业法人资本金,普通机械制造业外商及港澳台商投资工业企业法人资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业法人资本金,有色金属矿采选业外商及港澳台商投资工业企业法人资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业法人资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业法人资本金,木材及竹材采运业外商及港澳台商投资工业企业法人资本金,橡胶制品业外商及港澳台商投资工业企业法人资本金,烟草加工业外商及港澳台商投资工业企业法人资本金,煤气生产和供应业外商及港澳台商投资工业企业法人资本金,煤炭采选业外商及港澳台商投资工业企业法人资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业法人资本金,电子及通信设备制造业外商及港澳台商投资工业企业法人资本金,电气机械及器材制造业外商及港澳台商投资工业企业法人资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业法人资本金,石油加工及炼焦业外商及港澳台商投资工业企业法人资本金,石油和天然气开采业外商及港澳台商投资工业企业法人资本金,纺织业外商及港澳台商投资工业企业法人资本金,自来水的生产和供应业外商及港澳台商投资工业企业法人资本金,造纸及纸制品业外商及港澳台商投资工业企业法人资本金,金属制品业外商及港澳台商投资工业企业法人资本金,非金属矿物制造业外商及港澳台商投资工业企业法人资本金,非金属矿采选业外商及港澳台商投资工业企业法人资本金,食品制造业外商及港澳台商投资工业企业法人资本金,食品加工业外商及港澳台商投资工业企业法人资本金,饮料制造业外商及港澳台商投资工业企业法人资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业法人资本金,黑色金属矿采选业外商及港澳台商投资工业企业法人资本金
2001年,25.13361,199.59139,9.44568,,12.99317,80.26891,13.57301,39.8398,25.44213,52.95681,1560.23205,9.28972,7.98217,76.61932,23.30012,0.34958,26.3012,14.39049,,14.61579,5.02066,2.73778,0.26205,217.81798,184.27388,98.02049,16.16449,11.32182,,61.27343,0.60031,28.6145,64.42889,83.53123,0.60242,29.18824,29.23551,46.84192,48.12073,0.08282
2002年,26.43073,186.09608,14.87357,,13.28428,92.21806,24.58128,47.39297,28.48087,67.66739,1765.55795,11.00108,11.51205,87.8137,24.84456,0.46711,36.64387,16.96721,,17.52381,3.14737,4.30513,0.62712,205.58322,239.20097,97.67994,19.66275,50.071,13.53042,69.34441,8.701,35.27877,55.14923,93.24668,0.64405,31.83819,33.60813,47.48605,48.5239,0.131
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
