,其他部门办普通高中招生数,农村其他部门办普通高中招生数,农村地方企业办普通高中招生数,农村教育部门办普通高中招生数,农村普通高中招生数,农村民办普通高中招生数,县镇其他部门办普通高中招生数,县镇地方企业办普通高中招生数,县镇教育部门办普通高中招生数,县镇普通高中招生数,县镇民办普通高中招生数,地方企业办普通高中招生数,城市其他部门办普通高中招生数,城市地方企业办普通高中招生数,城市教育部门办普通高中招生数,城市普通高中招生数,城市民办普通高中招生数,教育部门办普通高中招生数,普通高中招生数,民办普通高中招生数
1998年,0.0,0.0,0.0,0.0,136.7038,0.0,0.0,0.0,0.0,171.338,0.0,0.0,0.0,0.0,0.0,51.5102,0.0,0.0,359.6,0.0
1999年,0.0,0.0,0.0,0.0,151.924,0.0,0.0,0.0,0.0,189.2528,0.0,0.0,0.0,0.0,0.0,55.1471,0.0,0.0,396.3,0.0
2000年,0.0,0.0,0.0,0.0,176.4846,0.0,0.0,0.0,0.0,231.8434,0.0,0.0,0.0,0.0,0.0,64.3581,0.0,0.0,472.69,0.0
2001年,0.0,0.0,0.0,0.0,192.9572,0.0,0.0,0.0,0.0,298.6505,0.0,0.0,0.0,0.0,0.0,66.3713,0.0,0.0,557.98,0.0
2002年,0.0,0.0,0.0,0.0,234.5345,0.0,0.0,0.0,0.0,364.5291,0.0,0.0,0.0,0.0,0.0,77.6413,0.0,0.0,676.7,0.0
2003年,0.0,0.0,0.0,0.0,269.8002,0.0,0.0,0.0,0.0,400.9038,0.0,0.0,0.0,0.0,0.0,81.4224,0.0,0.0,752.1,0.0
2004年,29.8221,3.7542,0.0,85.9563,95.9722,6.2617,5.1353,0.0,392.5487,433.7612,36.0772,0.0,20.9326,0.0,234.6737,291.7762,36.1699,713.1787,821.5,78.5088
2005年,23.6001,3.4028,0.0,76.0553,87.9611,8.503,4.811,0.0,440.4255,488.3443,43.1078,0.0,15.3863,0.0,246.1714,301.4263,39.8686,762.6522,877.7317,91.4794
2006年,16.2344,2.886,0.0,70.9605,82.396,8.5495,3.9203,0.0,464.244,515.1259,46.9616,0.0,9.4281,0.0,228.8646,273.6861,35.3934,764.0691,871.2,90.9045
2007年,12.1437,2.5383,0.0,59.8865,69.853,7.4282,2.6549,0.0,432.8548,477.0935,41.5838,0.0,6.9505,0.0,251.9786,293.2179,34.2888,744.7199,840.1644,83.3008
2008年,9.1586,2.2429,0.0,54.9888,64.7304,7.4987,1.9191,0.0,435.0412,477.8623,40.902,0.0,4.9966,0.0,255.2543,294.4136,34.1627,745.2843,837.0063,82.5634
2009年,7.575,1.7973,0.0,50.747,59.5318,6.9875,1.9771,0.0,435.8525,477.2596,39.43,0.0,3.8006,0.0,254.7952,293.547,34.9512,741.3947,830.3384,81.3687
2010年,7.1969,1.7757,0.0,48.0192,56.7141,6.9192,1.8968,0.0,445.5047,486.4291,39.0276,0.0,3.5244,0.0,254.5689,293.0927,34.9994,748.0928,836.2359,80.9462
2011年,6.6445,0.1948,0.018,31.0373,36.6342,5.3841,3.086,0.4029,400.1881,439.4533,35.7763,0.6804,3.3637,0.2595,328.6926,374.6924,42.3766,759.918,850.7799,83.537
2012年,6.2134,0.3168,0.0,24.0088,29.1746,4.849,2.9851,0.2181,398.2698,437.2203,35.7473,0.3862,2.9115,0.1681,333.5987,378.2122,41.5339,755.8773,844.6,82.1302
2013年,5.7748,0.1575,0.0,22.7362,28.1232,5.2295,2.8367,0.1603,384.6043,421.0455,33.4442,0.3068,2.7806,0.1465,329.4548,373.5274,41.1455,736.7953,822.6961,79.8192
2014年,5.8526,0.2271,0.0,21.5378,27.0399,5.275,2.9019,0.0727,367.8217,404.6834,33.8871,0.2091,2.7236,0.1364,318.4449,364.8727,43.5678,707.8044,796.596,82.7299
