,东乡族人口数,乌孜别克族人口数,京族人口数,仡佬族人口数,仫佬族人口数,佤族人口数,侗族人口数,俄罗斯族人口数,保安族人口数,傈僳族人口数,傣族人口数,哈尼族人口数,哈萨克族人口数,回族人口数,土家族人口数,土族人口数,基诺族人口数,塔吉克族人口数,塔塔尔族人口数,壮族人口数,布依族人口数,布朗族人口数,彝族人口数,德昂族人口数,怒族人口数,拉祜族人口数,撒拉族人口数,普米族人口数,景颇族人口数,朝鲜族人口数,柯尔克孜族人口数,毛南族人口数,民族自治地方少数民族人口数,民族自治地方总人口数,水族人口数,满族人口数,独龙族人口数,珞巴族人口数,瑶族人口数,畲族人口数,白族人口数,纳西族人口数,维吾尔族人口数,羌族人口数,苗族人口数,蒙古族人口数,藏族人口数,裕固族人口数,赫哲族人口数,达斡尔族人口数,鄂伦春族人口数,鄂温克族人口数,锡伯族人口数,门巴族人口数,阿昌族人口数,高山族人口数,黎族人口数
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7577.45,16607.91,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7591.4,16682.55,,,,,,,,,,,,,,,,,,,,,,,
2000年,513805.0,12370.0,22517.0,579357.0,207352.0,396610.0,2960293.0,15609.0,16505.0,634912.0,1158989.0,1439673.0,1250458.0,9816805.0,8028133.0,241198.0,20899.0,41028.0,4890.0,16178811.0,2971460.0,91882.0,7762272.0,17935.0,28759.0,453705.0,104503.0,33600.0,132143.0,1923842.0,160823.0,107166.0,7766.7634,16817.696,406902.0,10682262.0,7426.0,2965.0,2637421.0,709592.0,1858063.0,308839.0,8399393.0,306072.0,8940116.0,5813947.0,5416021.0,13719.0,4640.0,132394.0,8196.0,30505.0,188824.0,8923.0,33936.0,4461.0,1247814.0
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7799.4679,16870.104,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7930.29,17051.24,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8016.9562,17214.1187,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8239.0,17311.2823,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8367.3728,17679.8632,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8501.2231,17947.889,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8616.0198,18075.3926,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8713.70559429,18317.903,,,,,,,,,,,,,,,,,,,,,,,
2010年,621500.0,10569.0,28199.0,550746.0,216257.0,429709.0,2879974.0,15393.0,20074.0,702839.0,1261311.0,1660932.0,1462588.0,10586087.0,8353912.0,289565.0,23143.0,51069.0,3556.0,16926381.0,2870034.0,119639.0,8714393.0,20556.0,37523.0,485966.0,130607.0,42861.0,147828.0,1830929.0,186708.0,101192.0,8813.7622,18531.0216,411847.0,10387958.0,6930.0,3682.0,2796003.0,708651.0,1933510.0,326295.0,10069346.0,309576.0,9426007.0,5981840.0,6282187.0,14378.0,5354.0,131992.0,8659.0,30875.0,190481.0,10561.0,39555.0,4009.0,1463064.0
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8913.8633,18656.1625,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9003.4652704,18762.3424,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9017.6952,18315.9586,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
