,专用设备制造业外商及港澳台商投资工业企业法人资本金,仪器仪表制造业外商及港澳台商投资工业企业法人资本金,其他制造业外商及港澳台商投资工业企业法人资本金,其他采矿业外商及港澳台商投资工业企业法人资本金,农副食品加工业外商及港澳台商投资工业企业法人资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业法人资本金,化学纤维制造业外商及港澳台商投资工业企业法人资本金,医药制造业外商及港澳台商投资工业企业法人资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业法人资本金,外商及港澳台商投资工业企业法人资本金,家具制造业外商及港澳台商投资工业企业法人资本金,废弃资源综合利用业外商及港澳台商投资工业企业法人资本金,开采辅助活动外商及港澳台商投资工业企业法人资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业法人资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业法人资本金,有色金属矿采选业外商及港澳台商投资工业企业法人资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业法人资本金,橡胶和塑料制品业外商及港澳台商投资工业企业法人资本金,水的生产和供应业外商及港澳台商投资工业企业法人资本金,汽车制造业外商及港澳台商投资工业企业法人资本金,烟草制品业外商及港澳台商投资工业企业法人资本金,煤炭开采和洗选业外商及港澳台商投资工业企业法人资本金,燃气生产和供应业外商及港澳台商投资工业企业法人资本金,电力、热力生产和供应业外商及港澳台商投资工业企业法人资本金,电气机械和器材制造业外商及港澳台商投资工业企业法人资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业法人资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业法人资本金,石油和天然气开采业外商及港澳台商投资工业企业法人资本金,纺织业外商及港澳台商投资工业企业法人资本金,纺织服装、服饰业外商及港澳台商投资工业企业法人资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业法人资本金,通用设备制造业外商及港澳台商投资工业企业法人资本金,造纸和纸制品业外商及港澳台商投资工业企业法人资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业法人资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业法人资本金,金属制品业外商及港澳台商投资工业企业法人资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业法人资本金,非金属矿物制品业外商及港澳台商投资工业企业法人资本金,非金属矿采选业外商及港澳台商投资工业企业法人资本金,食品制造业外商及港澳台商投资工业企业法人资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业法人资本金,黑色金属矿采选业外商及港澳台商投资工业企业法人资本金
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,256.52355,57.77816,17.89466,,247.44406,821.69847,130.13899,191.65284,71.47077,9029.13,51.55249,15.78012,1.48642,77.20907,169.87893,9.76393,58.66127,307.60087,66.36678,1001.94421,0.05696,36.60914,108.59303,694.47669,589.92143,138.04055,223.9736,0.63379,335.81418,175.52919,824.37077,417.94927,290.00479,226.37395,25.13985,234.23924,206.21649,466.04392,7.39648,177.93896,282.53487,12.42949
2013年,243.18,64.33,13.64,0.0,255.07,874.11,127.08,192.69,79.33,9164.6,62.36,22.86,1.21,85.49,150.71,8.51,54.42,305.31,70.75,1091.58,0.06,51.12,170.28,636.56,606.11,111.55,234.61,2.93,282.51,185.25,782.44,425.82,246.94,237.86,29.8,286.26,204.86,370.77,5.08,185.26,369.16,36.74
2014年,218.28,70.52,15.0,0.0,245.57,963.28,158.63,231.24,70.53,9903.69,54.3,17.52,1.56,93.29,191.24,6.59,48.41,328.24,75.41,1151.58,0.06,55.36,165.32,592.99,698.7,118.82,344.88,0.6,291.34,231.64,783.45,650.47,351.52,237.21,35.61,283.77,159.17,427.98,4.1,178.59,339.01,11.92
