,专用设备制造业外商及港澳台商投资工业企业外商资本金,仪器仪表制造业外商及港澳台商投资工业企业外商资本金,其他制造业外商及港澳台商投资工业企业外商资本金,其他采矿业外商及港澳台商投资工业企业外商资本金,农副食品加工业外商及港澳台商投资工业企业外商资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业外商资本金,化学纤维制造业外商及港澳台商投资工业企业外商资本金,医药制造业外商及港澳台商投资工业企业外商资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业外商资本金,外商及港澳台商投资工业企业外商资本金,家具制造业外商及港澳台商投资工业企业外商资本金,废弃资源综合利用业外商及港澳台商投资工业企业外商资本金,开采辅助活动外商及港澳台商投资工业企业外商资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业外商资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业外商资本金,有色金属矿采选业外商及港澳台商投资工业企业外商资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业外商资本金,橡胶和塑料制品业外商及港澳台商投资工业企业外商资本金,水的生产和供应业外商及港澳台商投资工业企业外商资本金,汽车制造业外商及港澳台商投资工业企业外商资本金,烟草制品业外商及港澳台商投资工业企业外商资本金,煤炭开采和洗选业外商及港澳台商投资工业企业外商资本金,燃气生产和供应业外商及港澳台商投资工业企业外商资本金,电力、热力生产和供应业外商及港澳台商投资工业企业外商资本金,电气机械和器材制造业外商及港澳台商投资工业企业外商资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业外商资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业外商资本金,石油和天然气开采业外商及港澳台商投资工业企业外商资本金,纺织业外商及港澳台商投资工业企业外商资本金,纺织服装、服饰业外商及港澳台商投资工业企业外商资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业外商资本金,通用设备制造业外商及港澳台商投资工业企业外商资本金,造纸和纸制品业外商及港澳台商投资工业企业外商资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业外商资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业外商资本金,金属制品业外商及港澳台商投资工业企业外商资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业外商资本金,非金属矿物制品业外商及港澳台商投资工业企业外商资本金,非金属矿采选业外商及港澳台商投资工业企业外商资本金,食品制造业外商及港澳台商投资工业企业外商资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业外商资本金,黑色金属矿采选业外商及港澳台商投资工业企业外商资本金
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,840.05027,254.18879,50.88233,0.0,507.86385,2197.5539,127.05602,440.34186,84.61589,20230.68,150.06165,26.25961,0.84942,202.60455,312.34551,14.49032,81.96951,954.68874,127.19847,1793.68618,0.0,38.58831,128.59953,339.64197,1374.27252,234.15393,158.38909,9.02155,453.09548,310.50605,3784.12048,1213.99669,931.97812,471.99968,34.0377,575.72825,294.94904,716.85387,10.15159,476.09964,504.08585,3.70238
2013年,932.8,245.58,58.31,0.0,523.08,2393.3,134.07,481.1,113.0,21432.92,154.85,22.46,1.15,217.67,290.06,12.69,58.56,950.96,130.56,1940.48,0.0,41.73,143.35,359.63,1405.27,236.65,160.96,12.91,488.38,309.56,4049.16,1350.91,941.72,573.11,44.37,617.31,284.52,721.28,14.67,480.92,531.71,4.12
2014年,1314.57,230.66,83.19,0.0,537.59,2587.67,177.99,521.46,110.6,22505.82,151.73,23.91,4.35,225.54,326.28,11.96,69.26,951.27,141.39,2142.67,0.0,44.07,116.78,354.66,1375.95,236.43,167.36,7.84,449.99,298.26,4190.58,1427.8,1031.54,512.44,34.64,666.39,338.73,669.11,15.51,497.92,456.37,1.36
