,专用设备制造业外商及港澳台商投资工业企业应付帐款,仪器仪表制造业外商及港澳台商投资工业企业应付帐款,其他制造业外商及港澳台商投资工业企业应付帐款,其他采矿业外商及港澳台商投资工业企业应付帐款,农副食品加工业外商及港澳台商投资工业企业应付帐款,化学原料和化学制品制造业外商及港澳台商投资工业企业应付帐款,化学纤维制造业外商及港澳台商投资工业企业应付帐款,医药制造业外商及港澳台商投资工业企业应付帐款,印刷和记录媒介复制业外商及港澳台商投资工业企业应付帐款,外商及港澳台商投资工业企业应付帐款,家具制造业外商及港澳台商投资工业企业应付帐款,废弃资源综合利用业外商及港澳台商投资工业企业应付帐款,开采辅助活动外商及港澳台商投资工业企业应付帐款,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业应付帐款,有色金属冶炼和压延加工业外商及港澳台商投资工业企业应付帐款,有色金属矿采选业外商及港澳台商投资工业企业应付帐款,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应付帐款,橡胶和塑料制品业外商及港澳台商投资工业企业应付帐款,水的生产和供应业外商及港澳台商投资工业企业应付帐款,汽车制造业外商及港澳台商投资工业企业应付帐款,烟草制品业外商及港澳台商投资工业企业应付帐款,煤炭开采和洗选业外商及港澳台商投资工业企业应付帐款,燃气生产和供应业外商及港澳台商投资工业企业应付帐款,电力、热力生产和供应业外商及港澳台商投资工业企业应付帐款,电气机械和器材制造业外商及港澳台商投资工业企业应付帐款,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业应付帐款,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业应付帐款,石油和天然气开采业外商及港澳台商投资工业企业应付帐款,纺织业外商及港澳台商投资工业企业应付帐款,纺织服装、服饰业外商及港澳台商投资工业企业应付帐款,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业应付帐款,通用设备制造业外商及港澳台商投资工业企业应付帐款,造纸和纸制品业外商及港澳台商投资工业企业应付帐款,酒、饮料和精制茶制造业外商及港澳台商投资工业企业应付帐款,金属制品、机械和设备修理业外商及港澳台商投资工业企业应付帐款,金属制品业外商及港澳台商投资工业企业应付帐款,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业应付帐款,非金属矿物制品业外商及港澳台商投资工业企业应付帐款,非金属矿采选业外商及港澳台商投资工业企业应付帐款,食品制造业外商及港澳台商投资工业企业应付帐款,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业应付帐款,黑色金属矿采选业外商及港澳台商投资工业企业应付帐款
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,1060.73847,315.78672,45.94947,0.0,753.68511,1543.488,176.28813,381.85679,156.973,30517.05,198.9005,65.07866,10.9445,313.71269,408.17803,6.18518,60.9032,826.03793,35.8757,3730.9,0.14408,496.65426,155.27674,307.35172,2246.65393,365.12624,437.07165,89.19137,486.46017,475.47426,9833.42781,1587.15904,519.10851,399.27753,28.81798,596.0682,496.38561,613.81953,5.99835,497.46539,759.1769,29.45449
2013年,1191.05,339.96,44.18,0.0,781.89,1779.69,175.53,448.77,187.1,33181.59,236.06,66.12,13.03,360.39,501.89,8.75,65.53,833.02,29.27,4929.58,0.11,514.23,185.75,336.35,2471.58,374.41,485.66,86.13,493.46,490.39,9865.53,1712.29,581.94,416.05,37.26,618.99,468.94,653.81,5.79,520.6,851.46,19.02
2014年,1207.2,349.14,47.12,0.0,675.39,1790.32,187.98,553.42,174.15,34141.36,222.62,31.48,11.64,484.24,457.48,13.99,72.33,830.96,34.13,5439.01,0.1,50.47,206.97,333.79,2365.5,342.31,428.19,90.22,477.29,464.47,10987.16,1794.96,522.6,449.17,44.22,649.97,473.86,652.8,7.38,505.36,687.05,24.92
