,专用设备制造业大中型工业企业单位数,交通运输设备制造业大中型工业企业单位数,仪器仪表及文化、办公用机械制造业大中型工业企业单位数,其他采矿业大中型工业企业单位数,农副食品加工业大中型工业企业单位数,化学原料及化学制品制造业大中型工业企业单位数,化学纤维制造业大中型工业企业单位数,医药制造业大中型工业企业单位数,印刷业和记录媒介的复制大中型工业企业单位数,塑料制品业大中型工业企业单位数,大中型工业企业单位数,家具制造业大中型工业企业单位数,工艺品及其他制造业大中型工业企业单位数,废弃资源和废旧材料回收加工业大中型工业企业单位数,文教体育用品制造业大中型工业企业单位数,有色金属冶炼及压延加工业大中型工业企业单位数,有色金属矿采选业大中型工业企业单位数,木材加工及木、竹、藤、棕、草制品业大中型工业企业单位数,橡胶制品业大中型工业企业单位数,水的生产和供应业大中型工业企业单位数,烟草制品业大中型工业企业单位数,煤炭开采和洗选业大中型工业企业单位数,燃气生产和供应业大中型工业企业单位数,电力、热力的生产和供应业大中型工业企业单位数,电气机械及器材制造业大中型工业企业单位数,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业单位数,石油加工、炼焦及核燃料加工业大中型工业企业单位数,石油和天然气开采业大中型工业企业单位数,纺织业大中型工业企业单位数,纺织服装、鞋、帽制造业大中型工业企业单位数,通信设备、计算机及其他电子设备制造大中型工业企业单位数,通用设备制造业大中型工业企业单位数,造纸及纸制品业大中型工业企业单位数,金属制品业大中型工业企业单位数,非金属矿物制品业大中型工业企业单位数,非金属矿采选业大中型工业企业单位数,食品制造业大中型工业企业单位数,饮料制造业大中型工业企业单位数,黑色金属冶炼及压延加工业大中型工业企业单位数,黑色金属矿采选业大中型工业企业单位数
2003年,899.0,1421.0,332.0,1.0,788.0,1549.0,184.0,712.0,262.0,607.0,23631.0,189.0,244.0,1.0,281.0,490.0,165.0,187.0,291.0,162.0,146.0,467.0,84.0,1569.0,1410.0,467.0,267.0,53.0,2087.0,770.0,1467.0,1288.0,538.0,694.0,1643.0,109.0,495.0,527.0,689.0,96.0
2004年,1003.0,1668.0,390.0,1.0,906.0,1664.0,223.0,751.0,295.0,722.0,27692.0,264.0,340.0,10.0,337.0,558.0,193.0,202.0,360.0,180.0,124.0,628.0,92.0,1657.0,1761.0,534.0,367.0,71.0,2449.0,837.0,1934.0,1650.0,612.0,807.0,1804.0,108.0,575.0,542.0,927.0,146.0
2005年,1022.0,1725.0,443.0,2.0,996.0,1729.0,210.0,795.0,327.0,810.0,29774.0,302.0,375.0,15.0,370.0,585.0,216.0,234.0,374.0,178.0,108.0,707.0,98.0,1663.0,1934.0,650.0,408.0,72.0,2635.0,982.0,2184.0,1759.0,641.0,912.0,1868.0,116.0,633.0,555.0,970.0,171.0
2006年,1170.0,1952.0,521.0,0.0,1091.0,1833.0,209.0,840.0,347.0,921.0,32930.0,391.0,440.0,20.0,417.0,679.0,253.0,278.0,392.0,189.0,101.0,835.0,99.0,1687.0,2189.0,747.0,432.0,67.0,2810.0,1211.0,2508.0,1939.0,668.0,1097.0,1944.0,134.0,700.0,578.0,1038.0,203.0
2007年,1324.0,2238.0,599.0,,1243.0,1985.0,224.0,887.0,395.0,1030.0,36506.0,464.0,470.0,22.0,456.0,767.0,294.0,329.0,429.0,211.0,87.0,928.0,112.0,1696.0,2518.0,873.0,467.0,70.0,2947.0,1405.0,2857.0,2174.0,722.0,1247.0,2159.0,133.0,793.0,645.0,1078.0,228.0
2008年,1506.0,2547.0,637.0,,1477.0,2160.0,236.0,1003.0,410.0,1088.0,40392.0,499.0,502.0,42.0,512.0,871.0,344.0,368.0,462.0,221.0,89.0,1218.0,125.0,1762.0,2874.0,963.0,489.0,90.0,3024.0,1565.0,3207.0,2430.0,784.0,1404.0,2333.0,161.0,869.0,678.0,1164.0,278.0
2009年,1515.0,2664.0,621.0,,1610.0,2188.0,235.0,1020.0,408.0,1142.0,41290.0,493.0,536.0,33.0,498.0,871.0,327.0,390.0,483.0,234.0,97.0,1246.0,132.0,1727.0,2949.0,983.0,510.0,80.0,3056.0,1659.0,3212.0,2443.0,776.0,1422.0,2435.0,174.0,955.0,745.0,1140.0,281.0
2010年,1754.0,3150.0,713.0,2.0,1842.0,2436.0,256.0,1125.0,433.0,1325.0,46648.0,605.0,593.0,69.0,535.0,1002.0,352.0,473.0,521.0,260.0,98.0,1500.0,141.0,1792.0,3408.0,1146.0,543.0,91.0,3423.0,1735.0,3716.0,2798.0,850.0,1639.0,2718.0,172.0,1068.0,790.0,1225.0,349.0
2011年,2167.0,3676.0,930.0,1.0,2509.0,3036.0,316.0,1340.0,546.0,1786.0,61347.0,890.0,1018.0,104.0,837.0,1162.0,421.0,731.0,654.0,313.0,98.0,2324.0,156.0,1965.0,4150.0,1917.0,595.0,101.0,4653.0,3466.0,4452.0,3429.0,1032.0,2144.0,4005.0,326.0,1402.0,956.0,1331.0,408.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
