,中等教育在校学生数,中等职业教育在校学生数,九年一贯制普通初中在校学生数,九年一贯制普通小学在校学生数,其他高等学历教育在校学生数,初中阶段教育在校学生数,初等教育在校学生数,初级中学在校学生数,十二年一贯制普通初中在校学生数,十二年一贯制普通小学在校学生数,十二年一贯制普通高中在校学生数,博士在校学生数,在职人员攻读博士、硕士学位在校学生数,学前教育在校学生数,小学在校学生数,工读学校在校学生数,成人专科在校学生数,成人中专在校学生数,成人初中在校学生数,成人小学在校学生数,成人本专科在校学生数,成人本科在校学生数,成人高中在校学生数,扫盲班在校学生数,技工学校在校学生数,普通专科在校学生数,普通中专在校学生数,普通初中在校学生数,普通初中完全中学在校学生数,普通小学在校学生数,普通本专科在校学生数,普通本科在校学生数,普通高中在校学生数,普通高中完全中学在校学生数,特殊教育在校学生数,研究生在校学生数,硕士在校学生数,网络专科在校学生数,网络本专科生在校学生数,网络本科在校学生数,职业初中在校学生数,职业高中在校学生数,高中在校学生数,高中阶段教育在校学生数,高等教育在校学生数,高级中学在校学生数
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1854.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.1,0.0,205.1713,4015.5,0.0,12535.78,206.5923,0.0,745.98,0.0,5.7617,11.2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1847.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.8,0.0,217.748,3837.9,0.0,12373.1,208.2111,0.0,716.1,0.0,6.3974,10.1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.2,0.0,224.4373,3868.7,0.0,12241.4,206.27,0.0,717.3,0.0,7.2,9.3018,0.0,0.0,0.0,0.0,47.88,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2209.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.2,0.0,227.7354,3960.6,0.0,12164.2,204.3662,0.0,722.9,0.0,8.5008,8.8128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2428.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6,0.0,240.8365,4065.9,0.0,12201.3,218.4376,0.0,704.9,0.0,12.9455,9.4164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2552.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.7,0.0,282.0,4082.2,0.0,12421.2,253.6,0.0,656.9,0.0,16.86,10.6771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2630.2725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.1,0.0,319.7851,4316.7,0.0,12822.6,279.9,0.0,664.9,0.0,21.1404,12.7935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2711.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.6,0.0,372.1529,4657.8,0.0,13195.2,290.64,0.0,713.2,0.0,29.56,14.5443,0.0,0.0,0.0,0.0,69.69,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2666.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.8,0.0,422.7851,4970.4,0.0,13615.0042,302.1,0.0,769.3,0.0,32.1063,16.3322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.9638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.1,0.0,465.4158,5167.8,0.0,13995.4,317.4,0.0,850.1,0.0,34.0621,17.6353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.3,117.4117,498.1,5363.0,0.0,13953.8,340.9,223.4647,938.0,0.0,35.84,19.8885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2326.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,136.1453,515.5,5721.6,0.0,13548.0,408.5874,272.4421,1049.7,0.0,37.16,23.3513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2244.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.1,216.0719,489.5159,6167.6,0.0,13013.25,556.09,340.0181,1201.26,0.0,37.8,30.1239,0.0,0.0,0.0,0.0,88.64,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.71,294.6914,457.98,6431.05,0.0,12543.47,719.07,424.3744,1404.97,0.0,38.64,39.3256,0.0,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,376.2786,456.35,6604.06,0.0,12156.71,903.36,527.0845,1683.81,0.0,37.45,50.098,0.0,0.0,0.0,0.0,83.37,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.1,479.3553,502.4,6618.4,0.0,11689.74,1108.5642,629.2089,1964.8,0.0,36.47,65.126,0.0,0.0,0.0,0.0,72.4087,0.0,0.0,0.0,0.0,0.0
2004年,10225.2797,1409.2467,0.0,0.0,0.0,6576.2936,11630.4169,0.0,0.0,0.0,0.0,16.561,20.1448,2089.4,0.0,0.7975,278.2002,103.3488,48.7796,384.1913,419.7956,141.5954,19.3693,242.5446,234.5,595.6533,554.4733,6475.0,0.0,11246.2,1333.4969,737.8436,2220.4,0.0,37.2,81.9896,65.4286,109.545,236.5908,127.0458,52.5134,516.9246,2239.7394,3648.9861,0.0,0.0
2005年,10297.1534,1600.0395,0.0,0.0,0.0,6266.2125,11171.8265,0.0,0.0,0.0,0.0,19.1317,25.4672,2179.029,0.0,0.8372,274.9565,112.5457,51.2683,307.761,436.0705,161.114,21.8113,192.438,275.2974,712.9579,629.7671,6171.8079,0.0,10864.0655,1561.7767,848.8188,2409.0901,0.0,36.4409,97.861,78.7293,138.0387,265.2679,127.2292,43.1363,582.4293,2430.9014,4030.9409,0.0,0.0
2006年,10350.2403,1809.89,0.0,0.0,0.0,6008.3851,10976.6964,0.0,0.0,0.0,0.0,20.8038,29.91,2263.9,0.0,0.8322,312.8468,107.5899,50.436,265.1618,524.8765,212.0297,17.4716,167.4559,320.8,795.5046,725.8441,5937.4,0.0,10711.5,1738.8441,943.3395,2514.5,0.0,36.3,110.4653,89.6615,149.6052,279.2945,129.6893,20.5699,655.6379,2531.9683,4341.8552,0.0,0.0
2007年,10321.6047,1987.01,0.0,0.0,0.0,5794.1139,10789.8711,0.0,0.0,0.0,0.0,22.2508,34.6068,2348.83,0.0,0.909,301.4332,112.9842,57.9192,225.8684,524.155,222.7218,18.0835,103.7592,367.1475,860.5924,781.6263,5720.8992,0.0,10564.0027,1884.8594,1024.303,2522.4008,0.0,41.9,119.5047,97.2539,173.5709,310.48,136.9091,15.2955,725.2485,2540.4843,4527.4908,0.0,0.0
2008年,10204.3595,2087.09,0.0,0.0,0.0,5628.286,10566.5928,0.0,0.0,0.0,0.0,23.6617,39.3816,2474.96,0.0,0.9631,313.0117,120.6459,43.315,235.0806,548.2949,235.2832,12.702,124.9637,397.5203,916.8042,817.2794,5574.1542,0.0,10331.5122,2021.0249,1104.2207,2476.2842,0.0,41.744,128.3046,104.6429,211.2241,355.895,144.6709,10.8168,750.3168,2488.9862,4576.0735,0.0,0.0
2009年,10130.6413,2195.17,0.0,0.0,0.0,5489.7291,10282.286,0.0,0.0,0.0,0.0,24.6319,39.4331,2657.8141,0.0,0.9213,315.6851,160.9942,48.7876,210.8199,541.3513,225.6662,11.4676,114.855,415.3,964.8059,840.4291,5433.642,0.0,10071.4661,2144.657,1179.8511,2434.2783,0.0,42.8125,140.4942,115.8623,260.0079,417.2721,157.2642,7.2995,778.424,2445.7459,4640.9122,0.0,0.0
2010年,10019.6629,2238.4976,0.0,0.0,0.0,5342.3332,10135.3616,0.0,0.0,0.0,0.0,25.895,42.0294,2976.6695,0.0,1.0735,310.9931,212.3974,63.0032,194.6573,536.0388,225.0457,11.497,108.0807,422.1,966.1797,877.7141,5275.9127,0.0,9940.7043,2231.7929,1265.6132,2427.3351,0.0,42.5613,153.8416,127.9466,289.104,453.1443,164.0403,3.4173,726.3332,2438.8321,4677.3297,0.0,0.0
2011年,9807.854,2205.33,551.3859,756.5579,0.0,5121.248,10094.2847,3769.7057,58.6326,58.2643,56.5218,27.1261,46.1693,3424.45,9111.5452,0.8976,313.883,238.7275,54.4456,167.9173,547.4962,233.6132,26.4533,74.889,430.4232,958.8501,855.2071,5064.2058,684.4816,9926.3674,2308.5078,1349.6577,2454.8227,839.1776,39.8736,164.5845,137.4584,317.0073,492.4833,175.476,2.5966,680.9722,2481.276,4686.606,0.0,1559.1233
2012年,9421.4196,2113.69,540.2756,777.8434,0.0,4826.1414,9860.2286,3503.2212,63.3749,65.2935,60.4748,28.381,48.9857,3685.76,8852.7616,1.064,335.5628,254.2747,63.0807,164.3301,583.1123,247.5495,14.4199,68.9067,423.8051,964.2267,812.5608,4763.0607,654.3086,9695.9,2391.3155,1427.0888,2467.17,827.8864,37.88,171.9818,143.6008,370.1414,570.4112,200.2698,1.8804,623.0465,2481.5911,4595.2782,0.0,1578.81
2013年,8858.2754,1922.9706,525.6281,792.0436,0.0,4488.3526,9484.805,3234.0393,66.6538,68.6227,63.0209,29.8283,55.873,3894.6903,8499.8824,0.9307,360.9549,229.9806,48.2278,124.2563,626.4145,265.4596,11.0705,61.9228,386.5864,973.6373,772.1842,0.0,612.752,9360.5478,2468.0726,1494.4353,2435.8817,791.4286,36.8103,179.3953,149.567,397.1306,614.6406,217.51,1.0516,534.2194,2446.9522,4369.9228,0.0,1581.4322
2014年,8601.5438,1755.2823,552.443,848.5902,0.0,4430.8928,9567.4926,3172.0045,75.5092,76.379,69.2354,31.2676,59.6086,4050.7145,8526.0959,0.8494,373.3295,194.3596,46.2631,116.4275,653.1212,279.7917,14.8964,45.5524,338.9696,1006.6346,749.1366,0.0,583.9005,9451.0651,2547.6999,1541.0653,2400.4723,757.6658,39.487,184.7689,153.5013,402.7462,631.4472,228.701,0.7725,472.8165,2415.3687,4170.651,0.0,1573.5711
