,外商投资建筑业企业主营业务税金及附加,外商投资建筑业企业产值利润率,外商投资建筑业企业产值利税率,外商投资建筑业企业从业人员,外商投资建筑业企业利润总额,外商投资建筑业企业动力装备率,外商投资建筑业企业单位数,外商投资建筑业企业固定资产净价,外商投资建筑业企业固定资产原价,外商投资建筑业企业应付职工薪酬,外商投资建筑业企业建筑业总产值,外商投资建筑业企业房屋建筑面积竣工率,外商投资建筑业企业房屋施工面积,外商投资建筑业企业房屋竣工面积,外商投资建筑业企业技术装备率,外商投资建筑业企业按总产值计算劳动生产率,外商投资建筑业企业本年固定资产折旧,外商投资建筑业企业税金总额,外商投资建筑业企业管理费用中的税金,外商投资建筑业企业自有施工机械设备年末净值,外商投资建筑业企业自有施工机械设备年末总功率,外商投资建筑业企业自有施工机械设备年末总台数
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,5.4,0.0,0.0,312.0,0.0,0.0,0.0,33.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,8.6,0.0,0.0,388.0,0.0,0.0,0.0,50.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,9.6,0.0,0.0,454.0,0.0,0.0,0.0,70.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,5.1,1.8746,0.0,337.0,0.0,0.0,0.0,62.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,6.1,1.4268,0.0,341.0,0.0,0.0,0.0,64.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,4.4,1.3084,0.0,319.0,0.0,0.0,0.0,67.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,4.3,2.3375,0.0,274.0,0.0,0.0,0.0,73.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,4.5,2.6947,0.0,279.0,0.0,0.0,0.0,91.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,6.04,2.9229,0.0,287.0,0.0,0.0,0.0,129.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,8.1,0.0,0.0,386.0,0.0,0.0,0.0,202.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,6.94,4.7,7.63,10.8,11.70068,3.73,388.0,32.16,49.45,24.48,249.03,47.1592902803,1310.94,618.23,12136.06,169063.14,3.09,7.29,0.35,131400.0,40.3991,41100.0
2006年,7.92,8.27,11.29,8.1,22.72801,5.35,370.0,26.69,44.1,18.89,274.87,59.0487180774,1594.48,941.52,13115.95,217288.54,3.09,8.3,0.38,105800.0,43.16,27600.0
2007年,11.34,7.03023693983,10.0087220753,11.43,27.86197,4.31,365.0,32.63,53.02,30.5,396.32,47.8673673674,1998.0,956.39,11124.93,227279.428126,3.68,11.80422,0.46,127200.0,49.25,45800.0
2008年,11.19501,5.7089663475,8.70729589761,9.2142,22.10142,4.8,363.0,36.66285,58.35197,31.81527,387.13523,41.4431767759,1649.2394,683.4972,11892.0,249595.583637,3.95695,11.60759,0.41258,109572.0,44.2095,28564.0
2009年,11.78913,5.42592777434,8.39684146674,10.2379,22.52682,4.1,351.0,43.47516,67.38565,34.36734,415.16992,26.5727144253,2544.2572,676.0782,9252.0,277053.305929,4.10345,12.33434,0.54521,94716.8,42.3442,25787.0
2010年,12.88,6.1,9.2,9.795,26.7419,3.8,331.0,38.06,65.13,31.27,439.67882,38.6,2131.71,821.84,9138.0,304913.0,4.82,13.5637,0.69,89500.0,37.48,24400.0
2011年,21.01062,4.54026472663,7.88281855267,9.8685,29.88257,6.68335613315,303.0,54.80588,94.31557,57.71557,658.16801,51.7,2011.5561,1040.677,24401.3679891,505330.730546,7.43132,21.99962,0.989,240804.9,65.9547,33205.0
2012年,13.5469,5.6,8.5,10.2824,26.56131,5.55296428849,295.0,30.05149,52.56172,49.01658,476.98842,48.5,1692.1332,821.2124,5517.73904925,378775.675182,4.58705,14.05053,0.50363,56735.6,57.0978,17892.0
2013年,0.0,0.0,0.0,10.1422,0.0,0.0,272.0,0.0,0.0,0.0,607.72487,45.7054975574,1673.8761,765.0534,0.0,455640.130203,0.0,0.0,0.0,0.0,0.0,0.0
2014年,15.31475,6.13598470903,8.60308375331,8.6264,39.46685,0.0,261.0,33.10228,58.81727,59.60916,643.2032,40.4620025117,1622.6362,656.5511,0.0,538592.398449,4.06592,15.86846,0.55371,0.0,0.0,0.0
