,规模以上专用设备制造业工业企业新产品销售收入,规模以上交通运输设备制造业工业企业新产品销售收入,规模以上仪器仪表及文化、办公用机械制造业工业企业新产品销售收入,规模以上农副食品加工业企业新产品销售收入,规模以上化学原料及化学制品制造业工业企业新产品销售收入,规模以上化学纤维制造业工业企业新产品销售收入,规模以上医药制造业工业企业新产品销售收入,规模以上印刷业和记录媒介的复制工业企业新产品销售收入,规模以上塑料制品业工业企业新产品销售收入,规模以上家具制造业工业企业新产品销售收入,规模以上工业企业新产品销售收入,规模以上工艺品及其他制造业工业企业新产品销售收入,规模以上文教体育用品制造业工业企业新产品销售收入,规模以上有色金属冶炼及压延加工业企业新产品销售收入,规模以上有色金属矿采选业工业企业新产品销售收入,规模以上木材加工及木、竹、藤、棕、草制品业工业企业新产品销售收入,规模以上橡胶制品业工业企业新产品销售收入,规模以上水的生产和供应业工业企业新产品销售收入,规模以上烟草制品业工业企业新产品销售收入,规模以上煤炭开采和洗选业工业企业新产品销售收入,规模以上燃气生产和供应业工业企业新产品销售收入,规模以上电力、热力的生产和供应业工业企业新产品销售收入,规模以上电气机械及器材制造业工业企业新产品销售收入,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业新产品销售收入,规模以上石油加工、炼焦及核燃料加工工业企业新产品销售收入,规模以上石油和天然气开采业工业企业新产品销售收入,规模以上纺织业工业企业新产品销售收入,规模以上纺织服装、鞋、帽制造业工业企业新产品销售收入,规模以上通信设备、计算机及电子设备制造业其他工业企业新产品销售收入,规模以上通用设备制造业工业企业新产品销售收入,规模以上造纸及纸制品业工业企业新产品销售收入,规模以上金属制品业工业企业新产品销售收入,规模以上非金属矿物制品业工业企业新产品销售收入,规模以上非金属矿采选业工业企业新产品销售收入,规模以上食品制造业工业企业新产品销售收入,规模以上饮料制造业工业企业新产品销售收入,规模以上黑色金属冶炼及压延加工业企业新产品销售收入,规模以上黑色金属矿采选业工业企业新产品销售收入
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228085839.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570270986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658382082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,44792465.5,200879220.8,14584253.3,14677320.8,64328994.8,12845566.2,23170434.7,2795216.8,9208861.5,2549037.4,1005827244.7,3881170.4,2079770.1,34103900.8,669279.0,2464674.5,10968601.1,22770.5,14928820.2,11156173.4,171814.3,1799907.0,109980157.0,5078221.2,11571278.8,592611.9,32539362.0,8075744.5,182267800.5,59293577.5,10182264.0,15547665.8,14523911.7,534697.3,6814431.2,7833814.6,68352484.2,322942.0
2012年,51792189.5,0.0,0.0,20041824.2,78730818.4,14392962.0,29286008.9,3691488.2,0.0,2908385.9,1105297711.1,0.0,0.0,39906367.4,3479857.5,3233002.4,0.0,137827.4,13836853.2,11100652.6,586644.6,1971995.9,117922424.6,0.0,17420808.7,163294.9,33711924.3,0.0,194715449.1,62773071.9,11255337.1,23685735.0,17836658.3,523506.8,8444769.1,0.0,75917476.1,360102.7
2013年,58947065.1,0.0,0.0,21216452.9,91376297.6,15093388.4,36061673.8,4360006.2,0.0,3910684.8,1284606903.2,0.0,0.0,51915643.1,3113695.9,3355673.7,0.0,132749.0,15913129.8,11393445.9,158475.0,2221947.8,138605057.7,0.0,26469415.7,61155.1,40512571.0,0.0,241635185.7,72693612.6,13822519.6,27219666.1,24108128.4,475532.6,10968404.2,0.0,79719165.5,385563.3
2014年,61128090.3,0.0,0.0,24650632.4,101691212.8,15845079.8,43018345.3,5133460.9,0.0,5093831.5,1428952967.9,0.0,0.0,59403446.1,1282013.8,4728976.4,0.0,111353.4,15222666.6,8979203.0,158789.8,2114387.7,161569917.4,0.0,28647574.7,236906.3,43107326.8,0.0,267651601.3,76409126.9,15410581.9,32051316.1,26010894.7,672074.9,11587056.5,0.0,80428617.5,527984.7
