,专用设备制造业国有控股工业企业应付帐款,仪器仪表制造业国有控股工业企业应付帐款,其他制造业国有控股工业企业应付帐款,其他采矿业国有控股工业企业应付帐款,农副食品加工业国有控股工业企业应付帐款,化学原料和化学制品制造业国有控股工业企业应付帐款,化学纤维制造业国有控股工业企业应付帐款,医药制造业国有控股工业企业应付帐款,印刷和记录媒介复制业国有控股工业企业应付帐款,国有控股工业企业应付帐款,家具制造业国有控股工业企业应付帐款,废弃资源综合利用业国有控股工业企业应付帐款,开采辅助活动国有控股工业企业应付帐款,文教、工美、体育和娱乐用品制造业国有控股工业企业应付帐款,有色金属冶炼和压延加工业国有控股工业企业应付帐款,有色金属矿采选业国有控股工业企业应付帐款,木材加工和木、竹、藤、棕、草制品业国有控股工业企业应付帐款,橡胶和塑料制品业国有控股工业企业应付帐款,水的生产和供应业国有控股工业企业应付帐款,汽车制造业国有控股工业企业应付帐款,烟草制品业国有控股工业企业应付帐款,煤炭开采和洗选业国有控股工业企业应付帐款,燃气生产和供应业国有控股工业企业应付帐款,电力、热力生产和供应业国有控股工业企业应付帐款,电气机械和器材制造业国有控股工业企业应付帐款,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业应付帐款,石油加工、炼焦和核燃料加工业国有控股工业企业应付帐款,石油和天然气开采业国有控股工业企业应付帐款,纺织业国有控股工业企业应付帐款,纺织服装、服饰业国有控股工业企业应付帐款,计算机、通信和其他电子设备制造业国有控股工业企业应付帐款,通用设备制造业国有控股工业企业应付帐款,造纸和纸制品业国有控股工业企业应付帐款,酒、饮料和精制茶制造业国有控股工业企业应付帐款,金属制品、机械和设备修理业国有控股工业企业应付帐款,金属制品业国有控股工业企业应付帐款,铁路、船舶、航空航天和其他运输设备国有控股工业企业应付帐款,非金属矿物制品业国有控股工业企业应付帐款,非金属矿采选业国有控股工业企业应付帐款,食品制造业国有控股工业企业应付帐款,黑色金属冶炼和压延加工业国有控股工业企业应付帐款,黑色金属矿采选业国有控股工业企业应付帐款
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1533.84508,204.38952,112.80686,0.15852,246.99917,1347.8073,60.55465,245.0273,55.84545,33719.08678,22.6228,17.18228,498.98989,41.44006,902.73799,81.95711,12.20279,117.15309,139.56312,3653.16323,730.56807,2450.81096,180.65774,6460.15428,1292.6906,6.87165,1773.0817,1500.57575,79.00367,21.31781,1200.42487,1274.97715,146.23356,168.77494,91.88591,425.69365,2029.60547,728.5124,37.852,100.33098,3495.01803,229.59938
2013年,1712.21,218.93,172.56,0.12,345.5,1537.66,51.59,272.65,58.62,38826.69,24.56,27.78,632.48,44.1,1258.94,132.66,15.79,157.19,177.22,4644.95,833.73,2950.52,194.51,6771.57,1581.19,5.65,1990.44,1897.33,77.03,22.73,1298.9,1462.22,126.62,194.85,103.72,450.09,2028.9,818.46,41.58,117.96,4069.82,303.35
2014年,1613.25,249.47,163.54,0.15,249.37,1727.11,49.45,305.68,68.63,41249.02,28.17,24.12,579.3,52.12,1254.76,144.86,17.62,161.95,200.86,5240.04,771.44,3087.54,262.51,7732.38,1733.79,5.35,1706.81,1762.51,70.37,21.21,1926.66,1501.67,137.48,218.53,97.64,522.65,2115.0,840.58,50.83,133.56,4109.78,310.3
