,事务所资质工程监理收入,公路工程工程监理收入,农林工程工程监理收入,冶炼工程工程监理收入,化工、石油工程工程监理收入,工程监理收入,市政公用工程工程监理收入,房屋建筑工程工程监理收入,机电安装工程工程监理收入,水利水电工程工程监理收入,港口与航道工程工程监理收入,电力工程工程监理收入,矿山工程工程监理收入,综合资质工程监理收入,航天航空工程工程监理收入,通信工程工程监理收入,铁路工程工程监理收入
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,53325.26,12152.15,31766.17,82035.68,1928415.89724,125647.56,1244523.54724,2404.74,74067.86,20152.35,179226.86,12980.29,0.0,3190.91,20719.54,66222.98
2006年,0.0,55053.44,12952.54,36016.42,122465.29,2352795.74,151087.07,1466465.15,3290.42,98627.35,22660.7,222296.07,19291.16,0.0,3553.12,34059.95,104977.06
2007年,0.0,55351.03,12049.08,45225.93,124349.17,2700857.61,173709.01,1719571.07,4026.57,103938.67,28212.42,251956.58,25263.55,0.0,4947.78,34330.24,117926.51
2008年,33.0,52199.0,15376.0,40458.0,156688.0,3328151.0,210711.0,2009468.0,5413.0,121369.0,32952.0,289046.0,36287.0,117748.0,5513.0,66590.0,168300.0
2009年,1865.35,59237.51,8702.84,40303.46,158899.81,4041700.65,254260.91,2341621.04,1335.88,105832.6,26865.92,353311.71,40751.46,343259.47,10023.8,52135.79,243293.1
2010年,2532.0,82261.0,7509.0,52441.0,187766.0,5283629.0,359005.0,3040135.0,1648.0,120759.0,24190.0,412390.0,56415.0,504277.0,7751.0,58385.0,366166.0
2011年,13292.39,100290.65,5549.07,62341.19,228732.4,6662814.87,404719.75,3755194.65,1074.14,144636.42,26474.1,539776.0,78898.86,832535.4,15099.93,86475.87,367724.05
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
