,事务所资质工程造价咨询收入,公路工程工程造价咨询收入,农林工程工程造价咨询收入,冶炼工程工程造价咨询收入,化工、石油工程工程造价咨询收入,工程造价咨询收入,市政公用工程工程造价咨询收入,房屋建筑工程工程造价咨询收入,机电安装工程工程造价咨询收入,水利水电工程工程造价咨询收入,港口与航道工程工程造价咨询收入,电力工程工程造价咨询收入,矿山工程工程造价咨询收入,综合资质工程造价咨询收入,航天航空工程工程造价咨询收入,通信工程工程造价咨询收入,铁路工程工程造价咨询收入
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,8.0,1253.93,1263.42,58781.22,2806.76,50448.82,0.0,1142.06,151.3,1467.54,69.17,0.0,0.0,0.0,170.22
2006年,0.0,0.0,56.86,1052.47,6228.89,77973.03,3365.59,63944.6,80.5,1828.24,133.3,793.76,69.17,0.0,0.0,0.0,419.65
2007年,0.0,0.0,0.0,1584.85,2141.81,91376.02,4302.43,79316.91,73.78,1934.55,137.3,1482.34,52.7,0.0,0.0,0.0,335.35
2008年,12.0,8.0,0.0,863.0,363704.0,484890.0,4287.0,105760.0,0.0,1714.0,206.0,6406.0,133.0,1354.0,0.0,0.0,443.0
2009年,2141.25,16.1,0.0,677.34,2226.33,167523.33,3654.99,147434.9,0.0,2204.03,213.37,2887.02,51.11,5435.24,300.0,0.0,281.65
2010年,2069.0,6.0,0.0,1437.0,9153.0,241164.0,8564.0,204668.0,0.0,1043.0,265.0,5090.0,51.0,8344.0,0.0,23.0,450.0
2011年,3995.56,90.0,0.0,2283.42,29197.62,349355.84,11113.09,272586.07,0.0,2475.66,70.22,11404.35,133.72,14965.63,0.0,0.0,1040.5
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
