,事务所资质工程招标代理收入,公路工程工程招标代理收入,农林工程工程招标代理收入,冶炼工程工程招标代理收入,化工、石油工程工程招标代理收入,工程招标代理收入,市政公用工程工程招标代理收入,房屋建筑工程工程招标代理收入,机电安装工程工程招标代理收入,水利水电工程工程招标代理收入,港口与航道工程工程招标代理收入,电力工程工程招标代理收入,矿山工程工程招标代理收入,综合资质工程招标代理收入,航天航空工程工程招标代理收入,通信工程工程招标代理收入,铁路工程工程招标代理收入
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,327.92,72.03,597.23,344.75,57472.66,2980.28,48768.45,63.52,1362.5,338.2,2257.96,62.46,0.0,7.73,0.0,289.63
2006年,0.0,323.0,60.0,704.37,414.17,78967.2,5899.33,63174.07,41.11,1932.19,649.94,5322.81,182.15,0.0,4.7,0.0,259.36
2007年,0.0,233.72,0.0,677.56,277.78,95811.23,6382.86,76664.45,0.0,2714.74,626.23,7339.48,229.3,0.0,0.0,307.66,331.23
2008年,0.0,427.0,0.0,820.0,583.0,147120.0,6820.0,108292.0,0.0,3504.0,1280.0,10263.0,521.0,13518.0,0.0,449.0,642.0
2009年,82.16,285.79,0.0,1270.24,646.8,192109.55,12384.77,140074.93,0.0,2973.03,981.47,19720.57,128.0,12508.01,0.0,412.95,640.83
2010年,51.0,418.0,0.0,1055.0,1824.0,247760.0,14665.0,180029.0,0.0,3180.0,1516.0,23329.0,369.0,20547.0,0.0,292.0,485.0
2011年,679.74,610.88,0.0,993.98,1778.64,298438.93,11755.53,219186.67,0.0,6213.24,797.87,28775.17,329.35,25596.06,0.0,1140.43,581.37
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
