,专用设备制造业大中型工业企业有效发明专利数,交通运输设备制造业大中型工业企业有效发明专利数,仪器仪表及文化、办公用机械制造业大中型工业企业有效发明专利数,农副食品加工业大中型工业企业有效发明专利数,化学原料及化学制品制造业大中型工业企业有效发明专利数,化学纤维制造业大中型工业企业有效发明专利数,医药制造业大中型工业企业有效发明专利数,印刷业和记录媒介的复制大中型工业企业有效发明专利数,塑料制品业大中型工业企业有效发明专利数,大中型工业企业有效发明专利数,家具制造业大中型工业企业有效发明专利数,工艺品及其他制造业大中型工业企业有效发明专利数,文教体育用品制造业大中型工业企业有效发明专利数,有色金属冶炼及压延加工业大中型工业企业有效发明专利数,有色金属矿采选业大中型工业企业有效发明专利数,木材加工及木、竹、藤、棕、草制品业大中型工业企业有效发明专利数,橡胶制品业大中型工业企业有效发明专利数,水的生产和供应业大中型工业企业有效发明专利数,烟草制品业大中型工业企业有效发明专利数,煤炭开采和洗选业大中型工业企业有效发明专利数,燃气生产和供应业大中型工业企业有效发明专利数,电力、热力的生产和供应业大中型工业企业有效发明专利数,电气机械及器材制造业大中型工业企业有效发明专利数,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业有效发明专利数,石油加工、炼焦及核燃料加工业大中型工业企业有效发明专利数,石油和天然气开采业大中型工业企业有效发明专利数,纺织业大中型工业企业有效发明专利数,纺织服装、鞋、帽制造业大中型工业企业有效发明专利数,通信设备、计算机及其他电子设备制造业大中型工业企业有效发明专利数,通用设备制造业大中型工业企业有效发明专利数,造纸及纸制品业大中型工业企业有效发明专利数,金属制品业大中型工业企业有效发明专利数,非金属矿物制品业大中型工业企业有效发明专利数,非金属矿采选业大中型工业企业有效发明专利数,食品制造业大中型工业企业有效发明专利数,饮料制造业大中型工业企业有效发明专利数,黑色金属冶炼及压延加工业大中型工业企业有效发明专利数,黑色金属矿采选业大中型工业企业有效发明专利数
2004年,,,,,,,,,,17988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,22971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,1462.0,1634.0,941.0,233.0,1971.0,117.0,1965.0,62.0,342.0,29176.0,104.0,250.0,1007.0,769.0,37.0,316.0,87.0,8.0,87.0,185.0,13.0,337.0,4210.0,133.0,858.0,401.0,574.0,89.0,4961.0,1855.0,65.0,741.0,1329.0,21.0,411.0,592.0,1003.0,6.0
2007年,1613.0,1816.0,784.0,220.0,2561.0,274.0,2482.0,115.0,357.0,43652.0,277.0,389.0,371.0,1097.0,54.0,242.0,237.0,24.0,153.0,208.0,12.0,323.0,8196.0,169.0,950.0,503.0,560.0,252.0,9709.0,2173.0,120.0,1092.0,3727.0,35.0,325.0,447.0,1747.0,38.0
2008年,2811.0,4501.0,1376.0,338.0,3198.0,266.0,3170.0,133.0,516.0,55723.0,221.0,526.0,474.0,1309.0,76.0,248.0,236.0,31.0,163.0,286.0,16.0,489.0,6534.0,171.0,735.0,531.0,829.0,189.0,18750.0,2705.0,278.0,1297.0,1118.0,39.0,405.0,470.0,1256.0,32.0
2009年,3933.0,4828.0,2179.0,380.0,3910.0,325.0,3911.0,312.0,887.0,81592.0,224.0,368.0,618.0,2219.0,106.0,185.0,487.0,45.0,162.0,451.0,16.0,831.0,10126.0,65.0,848.0,1168.0,998.0,284.0,25448.0,4482.0,268.0,1415.0,6848.0,43.0,672.0,425.0,2065.0,48.0
2010年,6303.0,6983.0,2749.0,621.0,4678.0,409.0,5672.0,367.0,1208.0,113074.0,325.0,425.0,857.0,2265.0,44.0,269.0,533.0,32.0,251.0,642.0,20.0,687.0,12492.0,238.0,976.0,1807.0,1660.0,228.0,41130.0,5668.0,393.0,2420.0,6254.0,60.0,948.0,563.0,2836.0,50.0
2011年,,,,,,,,,,146469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,204636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,244175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,313626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
