,专用设备制造业国有控股工业企业港澳台资本金,交通运输设备制造业国有控股工业企业港澳台资本金,仪器仪表及文化办公用机械制造业国有控股工业企业港澳台资本金,其他矿采选业国有控股工业企业港澳台资本金,其它制造业国有控股工业企业港澳台资本金,化学原料及化学制品制造业国有控股工业企业港澳台资本金,化学纤维制造业国有控股工业企业港澳台资本金,医药制造业国有控股工业企业港澳台资本金,印刷业、记录媒介的复制国有控股工业企业港澳台资本金,国有控股工业企业港澳台资本金,塑料制品业国有控股工业企业港澳台资本金,家具制造业国有控股工业企业港澳台资本金,文教体育用品制造业国有控股工业企业港澳台资本金,普通机械制造业国有控股工业企业港澳台资本金,有色金属冶炼及压延加工业国有控股工业企业港澳台资本金,有色金属矿采选业国有控股工业企业港澳台资本金,服装及其他纤维制品制造业国有控股工业企业港澳台资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业港澳台资本金,木材及竹材采运业国有控股工业企业港澳台资本金,橡胶制品业国有控股工业企业港澳台资本金,烟草加工业国有控股工业企业港澳台资本金,煤气生产和供应业国有控股工业企业港澳台资本金,煤炭采选业国有控股工业企业港澳台资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业港澳台资本金,电子及通信设备制造业国有控股工业企业港澳台资本金,电气机械及器材制造业国有控股工业企业港澳台资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业港澳台资本金,石油加工及炼焦业国有控股工业企业港澳台资本金,石油和天然气开采业国有控股工业企业港澳台资本金,纺织业国有控股工业企业港澳台资本金,自来水的生产和供应业国有控股工业企业港澳台资本金,造纸及纸制品业国有控股工业企业港澳台资本金,金属制品业国有控股工业企业港澳台资本金,非金属矿物制造业国有控股工业企业港澳台资本金,非金属矿采选业国有控股工业企业港澳台资本金,食品制造业国有控股工业企业港澳台资本金,食品加工业国有控股工业企业港澳台资本金,饮料制造业国有控股工业企业港澳台资本金,黑色金属冶炼及压延加工业国有控股工业企业港澳台资本金,黑色金属矿采选业国有控股工业企业港澳台资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,6.34494,30.94463,1.62629,0.0,1.0762,13.45119,44.07713,14.57266,4.88297,406.57502,7.29919,1.00987,2.96526,7.86917,13.00379,0.0,2.41331,4.26849,0.0,6.34709,0.94856,0.45524,0.35008,59.51224,31.53583,15.36025,0.60967,10.36726,0.0,18.21884,1.1525,12.28895,7.99938,19.78249,0.30734,8.67343,11.90799,10.39969,33.3416,0.0115
2001年,4.88102,35.35125,3.322,0.0,1.28635,16.96035,20.60871,16.0604,7.26612,493.86725,7.55045,0.7093,3.23608,7.09083,12.19941,0.0,1.81906,5.17184,0.0,6.73822,1.13953,1.83963,0.18891,96.89209,32.44878,15.05749,0.67281,33.55586,31.9351,16.06862,2.22081,11.87855,8.3783,17.60602,0.62421,9.0712,7.75937,18.29903,37.97955,0.0
2002年,7.32349,34.26391,3.51336,0.0,0.67013,13.91142,3.40393,17.97284,6.20342,433.35783,4.38135,0.26851,2.05113,11.1348,9.24301,0.0,1.90297,3.36012,0.0,2.2171,1.14488,0.85123,0.1908,76.9683,37.85149,16.12638,0.59448,35.15383,26.36508,14.68574,1.66844,10.65059,6.0241,16.0479,0.59633,9.55385,9.40006,20.43122,27.17469,0.05695
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
