,中外合作经营企业批发业企业商品进口额,中外合资经营企业批发业企业商品进口额,其他企业批发业企业商品进口额,其他外商投资企业批发业企业商品进口额,其他有限责任公司批发业企业商品进口额,其他港澳台商投资企业批发业企业商品进口额,其他联营企业批发业企业商品进口额,内资企业批发业企业商品进口额,国有与集体联营企业批发业企业商品进口额,国有企业批发业企业商品进口额,国有独资公司批发业企业商品进口额,国有联营企业批发业企业商品进口额,外商投资企业批发业企业商品进口额,外商投资股份有限公司批发业企业商品进口额,外资企业批发业企业商品进口额,批发业企业商品进口额,有限责任公司批发业企业商品进口额,港澳台商合作经营企业批发业企业商品进口额,港澳台商合资经营企业批发业企业商品进口额,港澳台商投资企业批发业企业商品进口额,港澳台商投资股份有限公司批发业企业商品进口额,港澳台商独资经营企业批发业企业商品进口额,私营企业批发业企业商品进口额,私营合伙企业批发业企业商品进口额,私营有限责任公司批发业企业商品进口额,私营独资企业批发业企业商品进口额,私营股份有限公司批发业企业商品进口额,联营企业批发业企业商品进口额,股份合作企业批发业企业商品进口额,股份有限公司批发业企业商品进口额,集体企业批发业企业商品进口额,集体联营企业批发业企业商品进口额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8466.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14009.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,2.92525,208.49572,26.30528,0.0,3427.47083,0.0,5.07778,9252.0802,33.47164,1699.00939,847.72769,24.08296,2854.39719,13.07526,2629.90096,12699.1,4275.19852,1.10991,25.38348,592.67245,30.22734,535.95172,2079.71907,16.83427,1979.14756,28.90313,54.83411,62.63238,50.55336,899.91639,158.74581,0.0
2010年,3.23165,327.19896,13.61013,0.0,4309.84389,0.0,8.91221,12829.27937,0.58848,2897.22063,1321.61861,18.7068,4660.21737,12.08401,4317.70275,18463.0,5631.4625,0.11292,45.34312,973.5211,2.68636,925.3787,2940.58517,23.52405,2815.53476,33.75463,67.77173,28.20749,9.15058,1096.90437,212.1385,0.0
2011年,3.6925,453.7357,136.7967,0.4259,6969.3994,0.0,12.8449,16026.0092,0.3064,2817.316,1124.3459,25.7476,7653.2937,15.5758,7179.8637,25383.8451,8093.7453,0.1594,113.2117,1704.5423,1.6656,1589.5056,3449.1484,19.6125,3243.7828,38.0358,147.7174,38.899,24.8195,1297.6221,167.6621,0.0
2012年,5.56279,358.9307,143.54536,2.47708,7886.78575,0.0,4.61757,18338.51982,0.71751,3819.95351,1160.61244,15.34849,8541.2988,8.29714,8166.03109,29288.66007,9047.39819,0.0,187.66249,2408.84145,3.49174,2217.62261,3798.35906,5.30994,3581.32126,48.16183,163.56603,21.12064,36.57285,1282.19158,189.37863,0.43707
2013年,4.3703,602.93287,21.99627,0.80435,10833.32371,0.0,1.46679,22285.98632,0.10083,2193.09446,1694.76157,2.2995,9527.52056,14.71856,8904.69448,34812.87182,12528.08528,0.39869,175.22144,2999.36494,2.16094,2821.58387,5082.81975,0.18667,4848.03641,5.39726,229.19941,8.06629,26.7114,2360.90778,64.30509,4.19917
2014年,6.32129,902.52829,14.76878,169.5835,10970.59101,0.0,1.37345,21800.51395,0.03263,1848.96521,1773.52405,0.7435,10554.42529,6.16328,9469.82893,35455.0639,12744.11506,3.69593,140.42695,3100.1247,2.10565,2953.89617,4133.20275,3.49132,4043.1569,1.78735,84.76718,2.4272,1.91519,2969.79218,85.32758,0.27762
