,专用设备制造业私营工业企业法人资本金,仪器仪表制造业私营工业企业法人资本金,其他制造业私营工业企业法人资本金,其他采矿业私营工业企业法人资本金,农副食品加工业私营工业企业法人资本金,化学原料和化学制品制造业私营工业企业法人资本金,化学纤维制造业私营工业企业法人资本金,医药制造业私营工业企业法人资本金,印刷和记录媒介复制业私营工业企业法人资本金,家具制造业私营工业企业法人资本金,废弃资源综合利用业私营工业企业法人资本金,开采辅助活动私营工业企业法人资本金,文教、工美、体育和娱乐用品制造业私营工业企业法人资本金,有色金属冶炼和压延加工业私营工业企业法人资本金,有色金属矿采选业私营工业企业法人资本金,木材加工和木、竹、藤、棕、草制品业私营工业企业法人资本金,橡胶和塑料制品业私营工业企业法人资本金,水的生产和供应业私营工业企业法人资本金,汽车制造业私营工业企业法人资本金,烟草制品业私营工业企业法人资本金,煤炭开采和洗选业私营工业企业法人资本金,燃气生产和供应业私营工业企业法人资本金,电力、热力生产和供应业私营工业企业法人资本金,电气机械和器材制造业私营工业企业法人资本金,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业法人资本金,石油加工、炼焦和核燃料加工业私营工业企业法人资本金,石油和天然气开采业私营工业企业法人资本金,私营工业企业法人资本金,纺织业私营工业企业法人资本金,纺织服装、服饰业私营工业企业法人资本金,计算机、通信和其他电子设备制造业私营工业企业法人资本金,通用设备制造业私营工业企业法人资本金,造纸和纸制品业私营工业企业法人资本金,酒、饮料和精制茶制造业私营工业企业法人资本金,金属制品、机械和设备修理业私营工业企业法人资本金,金属制品业私营工业企业法人资本金,铁路、船舶、航空航天和其他运输设备私营工业企业法人资本金,非金属矿物制品业私营工业企业法人资本金,非金属矿采选业私营工业企业法人资本金,食品制造业私营工业企业法人资本金,黑色金属冶炼和压延加工业私营工业企业法人资本金,黑色金属矿采选业私营工业企业法人资本金
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,512.79065,99.59599,31.83588,0.48866,726.3341,1076.27765,122.45968,293.44802,76.40857,136.94193,36.41051,3.50394,117.17796,397.90365,90.19963,214.06498,476.96735,16.21404,342.44571,,362.40434,40.1014,143.31026,840.12606,140.25816,282.45479,5.6638,11964.57811,537.52966,279.91309,331.02053,728.30836,183.07633,176.84027,4.85326,499.83329,153.63524,1116.92257,100.51484,300.26512,691.00793,275.06991
2013年,634.49,114.62,33.94,0.19,819.55,1176.93,162.13,357.95,111.16,169.18,49.77,3.05,166.78,510.08,100.7,238.0,957.17,15.2,365.08,0.0,369.55,34.74,196.06,924.36,141.8,318.42,0.6,14208.0,612.65,322.53,445.1,752.27,207.19,204.97,7.44,610.9,180.71,1352.2,102.21,336.03,878.29,224.0
2014年,717.22,126.03,42.28,0.95,983.24,1307.99,166.42,394.2,141.07,166.35,57.38,3.23,523.81,624.77,92.76,266.68,511.02,22.28,499.53,0.0,336.93,50.35,276.95,2148.73,154.22,647.53,0.53,17359.45,650.92,362.27,514.68,861.08,305.0,246.41,7.6,708.8,211.06,1481.6,124.71,420.06,925.22,277.59
